sa,mar,effect_size,dataset,goal,model,tuner
-0.08814193458994457,3.5895171487276767,0.10856503178971869,project0001.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
-0.4092625638977174,4.648816463522346,0.5040915367537934,project0001.csv,0,DecisionTreeRegressor,DodgeCV
-0.6878743304230466,5.567889317889319,0.8472595807788081,project0001.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.0032940243773292854,8.494934494934494,0.001942712760898047,project0007.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.23790897471476868,6.4953090453090425,0.14031128740015028,project0007.csv,0,DecisionTreeRegressor,DodgeCV
0.13615995869916875,7.3625168750168735,0.08030289366063871,project0007.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.37725318454610157,10.100017037226342,0.3298619814913276,project0014.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.45707344773132863,8.805452379357988,0.3996550839912236,project0014.csv,0,DecisionTreeRegressor,DodgeCV
0.5028731117729216,8.06265068910418,0.4397013143512772,project0014.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
-0.01457974034684284,1.8521437316891862,0.011740322644981895,project0025.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.08434775318578136,1.6715488215488217,0.06792095148627286,project0025.csv,0,DecisionTreeRegressor,DodgeCV
-0.14302062374245517,2.0866161616161625,0.11516722710268122,project0025.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.46825167007476876,26.278825706457305,0.5908987711719954,project0039.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.38638898940443456,30.32445217321381,0.48759415849389853,project0039.csv,0,DecisionTreeRegressor,DodgeCV
0.41588413136085545,28.86681206220681,0.5248148332964245,project0039.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
-0.20493759177679904,0.7576754385964913,0.15578725421336265,project0066.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.4948080553807427,0.31766917293233077,0.3761378653964751,project0066.csv,0,DecisionTreeRegressor,DodgeCV
-0.47970421648835737,0.9304511278195488,0.36465639160376845,project0066.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.0463251196589195,38.667099567099555,0.04108272694283617,project0103.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.23556962301352113,30.99411141927125,0.2089113329775925,project0103.csv,0,DecisionTreeRegressor,DodgeCV
0.14707961294507366,34.58197149668731,0.13043531505087172,project0103.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.3113801126360607,51.6816252200181,0.22044014324963626,project0123.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.3193634069432847,51.082470836042255,0.22609188036858757,project0123.csv,0,DecisionTreeRegressor,DodgeCV
0.22153973754263567,58.42423704463179,0.15683805579601978,project0123.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.2961899316261263,137.77258040935672,0.35710113757863027,project0155.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.46429290359058006,104.86600338988497,0.5597743418610407,project0155.csv,0,DecisionTreeRegressor,DodgeCV
0.3388526969356078,129.42123744311243,0.4085374640621945,project0155.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.027387705740349655,10.562495872760293,0.018490130607961792,project0166.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
-0.030947620817418198,11.196013102224855,0.02089351902436622,project0166.csv,0,DecisionTreeRegressor,DodgeCV
-0.07033193718442865,11.62372379592392,0.04748286390908372,project0166.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.16572787685820167,24.912645405442017,0.1610350035281969,project0175.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.35605211091824596,19.229271811051472,0.34596987558707254,project0175.csv,0,DecisionTreeRegressor,DodgeCV
0.27599766277768545,21.619820439409697,0.2681823085032731,project0175.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.2783635149364535,5.825210071096295,0.22875579017209494,project0181.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.18408152659890853,6.586275232509922,0.15127598558608477,project0181.csv,0,DecisionTreeRegressor,DodgeCV
0.30363800641170613,5.6211887593543945,0.24952606342410202,project0181.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.5113413521058203,15.028393828393826,0.48595495450788073,project0204.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.47968607319959555,16.001932310114125,0.45587125492548264,project0204.csv,0,DecisionTreeRegressor,DodgeCV
0.49488584539466796,15.534472737601074,0.47031640897994675,project0204.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.3354137117183802,24.995982410816865,0.36757999357663035,project0207.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.32998554739829355,25.20014295740102,0.3616312665681602,project0207.csv,0,DecisionTreeRegressor,DodgeCV
0.37151854080432434,23.638031323515193,0.40714728727939825,project0207.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.37808327002193054,23.7748400591783,0.45149589948688756,project0209.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.4605507988147771,20.622243879309096,0.5499761921711614,project0209.csv,0,DecisionTreeRegressor,DodgeCV
0.3904256780940739,23.303010369260377,0.4662348394935252,project0209.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.14918858421936187,5.065889212827989,0.07334764314133091,project0224.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.23581513376838015,4.5500986454174255,0.115937049536821,project0224.csv,0,DecisionTreeRegressor,DodgeCV
0.18153319411888236,4.87330339728299,0.08924967020908085,project0224.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
-0.7593845974030617,17.636854922993844,0.6474987119414914,project0229.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
-1.1095900852719849,21.147470732577112,0.94610577229725,project0229.csv,0,DecisionTreeRegressor,DodgeCV
-0.8731943360577554,18.777734439865522,0.7445399996332911,project0229.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.10761107543754578,10.854171666275741,0.09729249618798952,project0244.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.15765263835263865,10.245513603205907,0.14253568839066696,project0244.csv,0,DecisionTreeRegressor,DodgeCV
-0.05773544811044795,12.865289802789801,0.05219932839029839,project0244.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.16802676141423256,2.6893534937284933,0.13347074043984314,project0248.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
-0.2824597203947552,4.145551046176046,0.2243696641428316,project0248.csv,0,DecisionTreeRegressor,DodgeCV
-0.4146977453241958,4.573010461760463,0.3294119023736986,project0248.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.23910061977076225,17.22855853637104,0.24301510638308063,project0252.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.05172733938621532,21.471132013411424,0.05257420451652035,project0252.csv,0,DecisionTreeRegressor,DodgeCV
0.21641060923079525,17.74231394863189,0.2199536215132804,project0252.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.42799137891711914,11.728530677141784,0.4098240921706049,project0312.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.44879481404373867,11.301974646201943,0.4297444675210811,project0312.csv,0,DecisionTreeRegressor,DodgeCV
0.411739439687257,12.061762311762312,0.39426201179005615,project0312.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.4009415831123352,20.996084819033737,0.48357230081087094,project0317.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.3275141980433308,23.569602795725086,0.39501214383060634,project0317.csv,0,DecisionTreeRegressor,DodgeCV
0.3060021502789727,24.323567295277833,0.36906664236425074,project0317.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.34885734353398945,41.144466752905494,0.2794428174267507,project0319.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.3941410705403583,38.28307411987893,0.31571613227245243,project0319.csv,0,DecisionTreeRegressor,DodgeCV
0.31012273565974213,43.59203299671215,0.24841549879085828,project0319.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.38114985158809267,95.24110223707001,0.4357871174628668,project0372.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.4008223737882436,92.2134990233781,0.4582796665406318,project0372.csv,0,DecisionTreeRegressor,DodgeCV
0.3399782483395706,101.57741626126348,0.38871362595751485,project0372.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.4579290267601678,18.015513626834384,0.4938388748697955,project0373.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.47359442594470336,17.494880303135023,0.5107327222906731,project0373.csv,0,DecisionTreeRegressor,DodgeCV
0.4268006475019952,19.05005295543031,0.4602694724273789,project0373.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.29731318965437614,27.138326764996272,0.2567048854587395,project0375.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.35859260983898666,24.771666533930464,0.3096145009310811,project0375.csv,0,DecisionTreeRegressor,DodgeCV
0.37840902800265486,24.006340611315068,0.32672430813748354,project0375.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.2571446868712335,18.503161421911418,0.22589393987806047,project0385.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.1814206692074365,20.389307616986198,0.15937264829859785,project0385.csv,0,DecisionTreeRegressor,DodgeCV
0.3356993739111723,16.546508451865595,0.2949018900995858,project0385.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.6415539642716951,18.2312748015873,0.4940117667220658,project0395.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.5724277156461888,21.747172619047618,0.44078291597508,project0395.csv,0,DecisionTreeRegressor,DodgeCV
